post_id,date,text,word,lemma,pos,lemma_p
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Reminder,reminder,NOUN,reminder_NOUN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,:,:,PUNCT,:_PUNCT
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,The,the,DET,the_DET
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Miss,Miss,PROPN,Miss_PROPN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Universe,Universe,PROPN,Universe_PROPN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,competition,competition,NOUN,competition_NOUN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,will,will,AUX,will_AUX
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,be,be,AUX,be_AUX
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,LIVE,live,ADJ,live_ADJ
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,from,from,ADP,from_ADP
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,the,the,DET,the_DET
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Bahamas,Bahamas,PROPN,Bahamas_PROPN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,-,-,PUNCT,-_PUNCT
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Tonight,tonight,NOUN,tonight_NOUN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,@,@,ADP,@_ADP
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,9,9,NUM,9_NUM
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,pm,p.m.,NOUN,p.m._NOUN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,(,(,PUNCT,(_PUNCT
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,EST,EST,PROPN,EST_PROPN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,),),PUNCT,)_PUNCT
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,on,on,ADP,on_ADP
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,NBC,NBC,PROPN,NBC_PROPN
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,:,:,PUNCT,:_PUNCT
1,2010-11-04,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,PROPN,http://tinyurl.com/mrzad9_PROPN
2,2013-08-15,@Timc1021 Thanks!,@,@,PUNCT,@_PUNCT
2,2013-08-15,@Timc1021 Thanks!,Timc1021,Timc1021,PROPN,Timc1021_PROPN
2,2013-08-15,@Timc1021 Thanks!,Thanks,thanks,NOUN,thanks_NOUN
2,2013-08-15,@Timc1021 Thanks!,!,!,PUNCT,!_PUNCT
3,2013-06-12,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  Great to have our former.Miss Alabama!","""","""",PUNCT,"""_PUNCT"
3,2013-06-12,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  Great to have our former.Miss Alabama!","""","""",PUNCT,"""_PUNCT"
3,2013-06-12,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  Great to have our former.Miss Alabama!",@_KatherineWebb,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN
3,2013-06-12,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  Great to have our former.Miss Alabama!",:,:,PUNCT,:_PUNCT
